case_track,case_family,status_group,source_scope,epoch,address,amount_gonka,amount_ngonka,source_file,source_repo_head,note
P3-CAND-02,P3-CAND-02,local_validated_recommended,settle_drop_epoch_cell,97,gonka19nd876302m3ll2h7sd55hp9pqzv2hpqalh8pjj,8.432384134,8432384134,/private/tmp/unclaimed-check/unclaimed.csv,gonkavip/unclaimed@658d62b,Negative-balance settle-drop amount from nonzero epoch cell.
P3-CAND-02,P3-CAND-02,local_validated_recommended,settle_drop_epoch_cell,112,gonka10kmsyy00yxnky2xfqy9wce0l7uaadq4jjp3ykg,7.993576578,7993576578,/private/tmp/unclaimed-check/unclaimed.csv,gonkavip/unclaimed@658d62b,Negative-balance settle-drop amount from nonzero epoch cell.
P3-CAND-02,P3-CAND-02,local_validated_recommended,settle_drop_epoch_cell,116,gonka12l3fwycgvs9tdpze59za89zq4cexhkxddafxdh,150.749450599,150749450599,/private/tmp/unclaimed-check/unclaimed.csv,gonkavip/unclaimed@658d62b,Negative-balance settle-drop amount from nonzero epoch cell.
P3-CAND-02,P3-CAND-02,local_validated_recommended,settle_drop_epoch_cell,116,gonka1598sglu00mktw3973jmwsu3vdw29mgcfjleju2,71.065864191,71065864191,/private/tmp/unclaimed-check/unclaimed.csv,gonkavip/unclaimed@658d62b,Negative-balance settle-drop amount from nonzero epoch cell.
P3-CAND-02,P3-CAND-02,local_validated_recommended,settle_drop_epoch_cell,116,gonka15fpzwc7d2z3r4y5475p6k7uqknnkj38gsus3d9,7.100517600,7100517600,/private/tmp/unclaimed-check/unclaimed.csv,gonkavip/unclaimed@658d62b,Negative-balance settle-drop amount from nonzero epoch cell.
P3-CAND-02,P3-CAND-02,local_validated_recommended,settle_drop_epoch_cell,116,gonka170wwtpvhwzgghd638z84z35gjggl7cvyzrkh8p,156.696892692,156696892692,/private/tmp/unclaimed-check/unclaimed.csv,gonkavip/unclaimed@658d62b,Negative-balance settle-drop amount from nonzero epoch cell.
P3-CAND-02,P3-CAND-02,local_validated_recommended,settle_drop_epoch_cell,116,gonka1h9asnq9x2kux2m8pcwaeegljzmd4ym4h26p07n,33.560566095,33560566095,/private/tmp/unclaimed-check/unclaimed.csv,gonkavip/unclaimed@658d62b,Negative-balance settle-drop amount from nonzero epoch cell.
P3-CAND-02,P3-CAND-02,local_validated_recommended,settle_drop_epoch_cell,116,gonka1hjjse9r0zfe0q8k4hfe4t5xuzstjqvky7dnj05,56.561388067,56561388067,/private/tmp/unclaimed-check/unclaimed.csv,gonkavip/unclaimed@658d62b,Negative-balance settle-drop amount from nonzero epoch cell.
P3-CAND-02,P3-CAND-02,local_validated_recommended,settle_drop_epoch_cell,116,gonka1hmjjq6ghykww8f8ujajnnmu2dpk2drrth8mtva,11.227314154,11227314154,/private/tmp/unclaimed-check/unclaimed.csv,gonkavip/unclaimed@658d62b,Negative-balance settle-drop amount from nonzero epoch cell.
P3-CAND-02,P3-CAND-02,local_validated_recommended,settle_drop_epoch_cell,116,gonka1jt5mqrx0yg5k6qdqhnkc4kpya4mzy52ngyh34c,19.116778155,19116778155,/private/tmp/unclaimed-check/unclaimed.csv,gonkavip/unclaimed@658d62b,Negative-balance settle-drop amount from nonzero epoch cell.
